iso3,year,value,source,source_url,vintage_date,confidence,verified_by,verified_at,notes
AFG,2012,5.83,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2009)
AFG,2013,5.7,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2009)
AFG,2014,5.56,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2009)
AFG,2015,5.41,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2009)
AFG,2016,5.26,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.28. Editor certainty: Materially Lower
AFG,2017,5.13,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.30. Editor certainty: Materially Lower
AFG,2018,5,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.33. Editor certainty: Materially Lower
AFG,2019,4.87,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.37. Editor certainty: Materially Lower
AFG,2020,4.75,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.40. Editor certainty: Materially Lower
AFG,2021,4.64,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.40. Editor certainty: Materially Lower
AFG,2022,4.52,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.41. Editor certainty: Materially Lower
AFG,2023,4.41,NSIA Afghanistan,https://www.nsia.gov.af/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.43. Editor certainty: Materially Lower
AFG,2024,4.36,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
AFG,2025,4.31,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
ALB,2013,1.81,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2013)
ALB,2014,1.87,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2013)
ALB,2015,1.76,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2013)
ALB,2016,1.76,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.20. Editor certainty: Materially Higher
ALB,2017,1.77,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.28. Editor certainty: Materially Higher
ALB,2018,1.71,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.29. Editor certainty: Materially Higher
ALB,2019,1.74,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.34. Editor certainty: Materially Higher
ALB,2020,1.76,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.39. Editor certainty: Materially Higher
ALB,2021,1.76,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.39. Editor certainty: Materially Higher
ALB,2022,1.65,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.29. Editor certainty: Materially Higher
ALB,2023,1.61,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.26. Editor certainty: Materially Higher
ALB,2024,1.64,INSTAT Albania,https://www.instat.gov.al/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.30. Editor certainty: Materially Higher
ALB,2025,1.53,"Wikipedia (TFR from observed births × local-window ratio, outlier-filtered)",,2026-05-14,HIGH,CALCNEW_V7_FRESH,2026-05-14,"Calc New v7 (v7_births_5anchor_±5y). R=0.000068, anchors=[(2020, 28075.0, 1.76, 6.269e-05), (2021, 27211.0, 1.76, 6.468e-05), (2022, 24688.0, 1.65, 6.683e-05), (2023, 23617.0, 1.61, 6.817e-05), (2024, 23310.0, 1.64, 7.036e-05)], dropped=[], window=±5y. Wiki-observed births 2025: 22,541."
AND,2018,1.03,Wikipedia: Demographics of [AND] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
AND,2021,0.97,Wikipedia: Demographics of [AND] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.09
AND,2022,0.94,Wikipedia: Demographics of [AND] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.13
AND,2023,0.79,Wikipedia: Demographics of [AND] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.29
AND,2024,0.84,Wikipedia: Demographics of [AND] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.25. Editor certainty: Recheck
AND,2025,0.79,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
ARG,2016,2.13,Wikipedia: Demographics of [ARG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.11
ARG,2017,2.06,Wikipedia: Demographics of [ARG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.11
ARG,2018,2,Wikipedia: Demographics of [ARG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.07
ARG,2019,1.81,Wikipedia: Demographics of [ARG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.07
ARG,2021,1.48,Wikipedia: Demographics of [ARG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.11
ARG,2022,1.39,Wikipedia: Demographics of [ARG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.09
ARG,2023,1.33,Wikipedia: Demographics of [ARG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.17
ARG,2024,1.23,Wikipedia: Demographics of [ARG] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.27. Editor certainty: Recheck
ARG,2025,1.18,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
ARM,2016,1.65,Wikipedia: Demographics of [ARM] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.03
ARM,2020,1.66,Wikipedia: Demographics of [ARM] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.04
ARM,2023,1.89,Wikipedia: Demographics of [ARM] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.18
ARM,2025,1.7,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
ATG,2017,1.5,Wikipedia: Demographics of [ATG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.02
ATG,2019,1.45,Wikipedia: Demographics of [ATG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
ATG,2020,1.53,Wikipedia: Demographics of [ATG] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.04
ATG,2021,1.58,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
ATG,2022,1.63,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
ATG,2023,1.68,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
ATG,2024,1.73,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
ATG,2025,1.78,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
AUS,2021,1.7,Wikipedia: Demographics of [AUS] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.05
AUS,2023,1.5,Wikipedia: Demographics of [AUS] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.14
AUS,2024,1.48,Wikipedia: Demographics of [AUS] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.16. Editor certainty: Recheck
AUS,2025,1.43,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
AZE,2017,1.87,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.09
AZE,2018,1.76,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.15
AZE,2019,1.8,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.05
AZE,2020,1.65,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.11
AZE,2021,1.48,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.23
AZE,2022,1.67,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
AZE,2023,1.55,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.12
AZE,2024,1.43,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.24. Editor certainty: Recheck
AZE,2025,1.35,Wikipedia: Demographics of [AZE] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.31. Editor certainty: Recheck
BEL,2020,1.55,Wikipedia: Demographics of [BEL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
BEL,2022,1.53,Wikipedia: Demographics of [BEL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
BEL,2023,1.47,Wikipedia: Demographics of [BEL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.09
BEL,2024,1.44,Wikipedia: Demographics of [BEL] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.06. Editor certainty: Recheck
BEL,2025,1.44,Wikipedia: Demographics of [BEL] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.05. Editor certainty: Recheck
BGR,2013,1.54,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2013)
BGR,2014,1.62,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2013)
BGR,2015,1.64,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Pre-2016 override (editor matrix start year: 2013)
BGR,2016,1.67,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.13. Editor certainty: Materially Higher
BGR,2017,1.71,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.15. Editor certainty: Materially Higher
BGR,2018,1.73,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.17. Editor certainty: Materially Higher
BGR,2019,1.79,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.21. Editor certainty: Materially Higher
BGR,2020,1.77,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.21. Editor certainty: Materially Higher
BGR,2021,1.8,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.21. Editor certainty: Materially Higher
BGR,2023,1.81,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.06. Editor certainty: Materially Higher
BGR,2024,1.72,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.03. Editor certainty: Materially Higher
BGR,2025,1.63,Bulgaria NSI,https://www.nsi.bg/,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.11. Editor certainty: Materially Higher
BHR,2016,1.98,Wikipedia: Demographics of [BHR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.06
BHR,2017,1.95,Wikipedia: Demographics of [BHR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.03
BHR,2018,1.84,Wikipedia: Demographics of [BHR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.07
BHR,2019,1.74,Wikipedia: Demographics of [BHR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.10
BHR,2021,1.61,Wikipedia: Demographics of [BHR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.24
BHR,2022,1.64,Wikipedia: Demographics of [BHR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.20
BHR,2023,1.59,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
BHR,2024,1.54,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
BHR,2025,1.49,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
BLR,2017,1.53,Wikipedia: Demographics of [BLR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
BLR,2020,1.33,Wikipedia: Demographics of [BLR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.04
BLR,2021,1.29,Wikipedia: Demographics of [BLR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.08
BLR,2022,1.19,Wikipedia: Demographics of [BLR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.14
BLR,2023,1.15,Wikipedia: Demographics of [BLR] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.06
BLR,2024,1.08,Wikipedia: Demographics of [BLR] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.14. Editor certainty: Recheck
BLR,2025,1.03,Wikipedia: Demographics of [BLR] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.19. Editor certainty: Recheck
BLZ,2016,2.23,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.17
BLZ,2017,2.18,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.19
BLZ,2018,2.29,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.05
BLZ,2019,2.12,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
BLZ,2020,2.02,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
BLZ,2021,1.88,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.04
BLZ,2022,2.04,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP +0.09
BLZ,2023,1.81,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.20
BLZ,2024,1.62,Wikipedia: Demographics of [BLZ] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.40. Editor certainty: Recheck
BLZ,2025,1.57,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
BMU,2017,1.4,Wikipedia: Demographics of [BMU] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
BMU,2018,1.35,Wikipedia: Demographics of [BMU] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.02
BMU,2019,1.35,Wikipedia: Demographics of [BMU] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.03
BMU,2020,1.41,Wikipedia: Demographics of [BMU] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.04
BMU,2021,1.32,Wikipedia: Demographics of [BMU] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.07
BMU,2022,1.3,Wikipedia: Demographics of [BMU] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.10
BMU,2023,1.22,Wikipedia: Demographics of [BMU] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.18
BMU,2024,1.16,"Wikipedia (TFR from observed births × local-window ratio, outlier-filtered)",,2026-05-14,HIGH,CALCNEW_V7_FRESH,2026-05-14,"Calc New v7 (v7_births_5anchor_±5y). R=0.002723, anchors=[(2019, 525.0, 1.348, 0.00256762), (2020, 541.0, 1.413, 0.00261183), (2021, 494.0, 1.321, 0.00267409), (2022, 479.0, 1.3, 0.00271399), (2023, 436.0, 1.222, 0.00280275)], dropped=[], window=±5y. Wiki-observed births 2024: 425."
BMU,2025,1.12,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
BOL,2016,2.8,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.03
BOL,2017,2.74,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.04
BOL,2018,2.69,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.04
BOL,2019,2.63,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.06
BOL,2020,2.58,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.07
BOL,2021,2.54,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.08
BOL,2022,2.41,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.17
BOL,2023,2.24,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.31
BOL,2024,2.06,Wikipedia: Demographics of [BOL] (vital statistics),,2026-05-13,MEDIUM,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.46. Editor certainty: Recheck
BOL,2025,2.01,Wikipedia (bidirectional TFR interpolation),,2026-05-14,MEDIUM,CALCNEW_V7_FRESH,2026-05-14,Calc New v7 (tfr_extrap_fwd). 
BRA,2016,1.69,Wikipedia: Demographics of [BRA] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.04
BRA,2017,1.63,Wikipedia: Demographics of [BRA] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.11
BRA,2018,1.61,Wikipedia: Demographics of [BRA] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.13
BRA,2019,1.59,Wikipedia: Demographics of [BRA] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.11
BRA,2020,1.57,Wikipedia: Demographics of [BRA] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.08
BRA,2021,1.53,Wikipedia: Demographics of [BRA] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.11
BRA,2022,1.6,Wikipedia: Demographics of [BRA] (vital statistics),,2026-05-13,HIGH,EDITOR_DECISION_2026_05_v2,2026-05-13,Δ vs WPP -0.03
